Model Architecture,Total Return (%),Annual Return (%),Sharpe Ratio,Max Drawdown (%),Sortino Ratio
Benchmark (B&H),11.895083250356443,13.289358040411315,0.48085926241833127,-30.839630655586337,0.6727468717229836
SMA Crossover,-29.357334383403032,-32.01126960627799,-1.362586594100226,-40.30701295475409,-1.2033491500309481
XGBoost (All Feat),-26.044308718897756,-28.46236455024299,-1.070727293931923,-32.541600670934045,-1.260140887378396
Ours (Dual-Query),61.901822931649185,70.72911589677699,2.260919568839132,-13.823520560962365,3.4700385481931213
Ours (w/ Market Dropout),31.806452136306262,35.878760599815784,1.0794738796051468,-26.914019090659924,1.3830059192280721
Ablation: Single-Query,28.033954442483488,31.56806872367124,1.0067799163599465,-22.94436632225365,1.2713286662665602
Ablation: No-Text,23.101930956567852,25.953564361213143,0.860955853429994,-30.839630655586337,1.086471413048905
Ablation: No-Social,22.416974957833457,25.175762049037374,0.8577233199086456,-28.365196582054942,1.1301048497377981
Late Fusion MLP,18.028876559555673,20.204329973647607,0.7328762212294071,-29.787742747655464,0.9569725996879567
Vanilla MLP,27.404451465800996,30.850109744137356,0.9990332444470509,-28.653028287056557,1.3322821571371557
Gated CrossAttention,15.12803201689521,16.92897899345254,0.6543583444495791,-28.644096761514838,0.8477687636979505
